name,rms_fitted_mm,mean_dist_fitted_mm,max_dist_fitted_mm,tip_apex_gap_mm,rot_z_deg,mirror_rms_mm,thumb_length_mm,flags
20_F_0004G,0.2273,0.1958,0.5267,1.099,1.70,6.8585,43.11,
20_F_0097G,0.2901,0.2667,0.5213,0.050,2.59,7.9370,53.79,
20_F_0179G,0.2132,0.1948,0.4383,1.830,3.68,5.9195,45.63,
20_F_2633G,0.2260,0.1663,0.6531,1.276,4.54,4.0383,46.72,
20_F_2634G,0.2015,0.1815,0.3841,0.888,1.83,8.0060,50.22,
20_F_2635G,0.2412,0.2110,0.5788,0.949,3.96,7.5094,44.58,
20_F_2636G,0.2401,0.2174,0.5478,0.993,3.14,5.7554,46.43,
20_F_2637G,0.2292,0.1900,0.5125,1.535,2.59,7.3157,50.00,
20_M_1113G,0.1911,0.1733,0.3833,0.923,3.69,8.7266,49.24,
20_M_1114G,0.2096,0.1837,0.4110,0.961,3.81,6.5313,53.48,
20_M_1115G,0.2377,0.2041,0.5180,0.724,3.76,7.8397,50.36,
20_M_1116G,0.2620,0.2477,0.5055,0.315,1.66,7.1595,55.07,
20_M_1117G,0.2475,0.2249,0.3956,0.327,0.48,6.9037,48.45,
20_M_1559G,0.2980,0.2785,0.5296,0.206,4.60,8.3256,56.72,
20_M_1573G,0.2253,0.1968,0.4481,0.630,1.67,6.9309,48.19,
