name,human_id,thumb_length_mm,reference_mm,diff_mm,match
20_F_0004G,20_F_0004,43.11,43.1,+0.01,True
20_F_0097G,20_F_0097,53.79,53.8,-0.01,True
20_F_0179G,20_F_0179,45.63,45.6,+0.03,True
20_F_2633G,20_F_2633,46.72,46.7,+0.02,True
20_F_2634G,20_F_2634,50.22,50.2,+0.02,True
20_F_2635G,20_F_2635,44.58,44.6,-0.02,True
20_F_2636G,20_F_2636,46.43,46.4,+0.03,True
20_F_2637G,20_F_2637,50.00,50.0,+0.00,True
20_M_1113G,20_M_1113,49.24,49.2,+0.04,True
20_M_1114G,20_M_1114,53.48,53.5,-0.02,True
20_M_1115G,20_M_1115,50.36,50.4,-0.04,True
20_M_1116G,20_M_1116,55.07,55.1,-0.03,True
20_M_1117G,20_M_1117,48.45,48.4,+0.05,True
20_M_1559G,20_M_1559,56.72,56.7,+0.02,True
20_M_1573G,20_M_1573,48.19,48.2,-0.01,True
