name,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28
20_F_0004G,13.6933,6.4963,8.8719,11.3757,10.4802,10.7404,5.6049,7.2623,9.6380,9.4960,4.8615,6.1940,7.9792,8.6393,7.0521,4.4846,5.8852,6.4857,7.8521,6.7618,4.7524,4.5070,7.1624,7.0335,7.0321,5.0457,7.7409,3.5549
20_F_0097G,2.2931,6.5584,6.1506,8.8953,9.8224,3.3869,0.9361,3.3471,6.3258,7.5882,3.9918,3.6954,4.3992,5.6345,8.5774,9.0649,6.0455,3.5872,4.3401,9.9517,6.8842,3.7733,5.1001,4.7532,6.3687,7.6205,11.8644,5.4929
20_F_0179G,2.0311,7.8316,9.5726,8.9714,6.7358,0.7845,6.4309,8.3645,6.7323,4.9334,5.5286,7.2429,5.0151,3.4928,2.7168,4.9492,6.1269,3.4213,2.0915,8.3862,6.6997,6.2715,5.2993,4.0558,2.4159,5.5651,12.5987,5.7604
20_F_2633G,14.2629,16.7139,16.1684,13.5397,17.9824,10.4834,13.0984,11.7898,10.7178,14.6317,9.6306,7.9093,8.0618,11.3416,7.8286,6.5266,4.3447,5.6555,8.0895,8.6173,7.7196,5.4625,7.3111,6.3158,5.8218,5.4557,3.4724,2.4323
20_F_2634G,7.5598,6.9476,3.3075,4.8562,4.5299,4.2414,5.6920,1.5105,2.3870,2.7747,6.1162,3.3559,1.6126,1.8411,2.3454,7.8921,5.3040,1.9094,0.9085,5.5648,5.1486,3.2940,1.7612,3.2830,6.3302,7.0408,5.1800,3.8306
20_F_2635G,12.0127,13.6343,9.7765,10.1870,2.9515,8.4288,12.5322,9.7761,8.6891,3.0187,11.8701,9.9758,8.1393,3.5760,4.3333,11.2780,10.3507,7.6831,4.3387,5.6613,9.9589,9.1306,5.1118,4.9221,9.7874,9.1447,3.5475,2.2427
20_F_2636G,7.9325,10.1145,9.9417,12.5994,10.5000,7.2450,8.8479,8.2133,9.1428,7.6197,7.5885,6.6703,6.0539,4.9746,6.2806,6.4601,5.3681,3.3253,3.2168,4.3465,5.0828,5.9319,3.1265,4.4868,4.6124,11.1953,8.5379,8.6803
20_F_2637G,4.4373,4.2252,5.2293,7.9596,4.0040,4.9548,5.2606,5.8099,6.4540,4.1513,6.4402,6.4576,6.2269,4.6546,4.5824,7.6394,7.1964,6.4443,5.3905,6.0402,7.4489,7.4615,4.8923,4.4112,7.4851,1.2305,3.7081,2.0420
20_M_1113G,7.7130,3.9028,4.5239,5.8088,4.0617,6.7080,3.7110,5.0583,6.4477,4.7925,5.3953,6.4740,7.4498,6.1758,8.1439,9.3307,10.4178,8.6529,7.5830,9.0034,13.3750,12.4598,7.4445,7.0166,8.9240,8.8792,13.3140,6.5946
20_M_1114G,10.1187,6.6182,7.1629,9.9604,8.7308,7.9422,8.4803,6.4609,7.8953,7.8218,10.4826,7.6211,6.6902,6.9302,5.5324,12.5310,9.0176,5.6439,6.0460,8.8874,10.0759,6.2632,6.2071,7.1982,9.3001,6.3174,6.6579,4.0881
20_M_1115G,3.0966,1.6222,2.7975,1.9307,5.6173,1.2989,1.5345,2.5380,2.4296,5.0711,3.1449,3.7255,3.0938,4.8368,5.0496,5.8740,6.2694,4.1788,5.0118,3.9437,5.5986,6.5851,4.8552,2.0375,4.6368,4.7821,2.8946,2.9861
20_M_1116G,7.3883,7.1163,5.0923,5.1019,3.7122,5.2966,6.1061,3.6527,2.5176,2.3641,5.4099,2.4347,1.8378,2.0677,4.1369,5.0418,1.8552,1.5748,2.0086,4.9441,3.3254,1.2168,3.2928,3.7112,2.1004,5.3218,4.7986,4.1308
20_M_1117G,10.8498,10.1243,8.4450,6.8026,8.8510,10.2018,7.5831,6.4995,5.4246,6.5196,5.6360,4.7349,4.2402,4.2699,11.9318,4.9773,3.2083,3.0920,2.0871,9.5389,2.7223,3.4273,2.1670,1.6700,7.2994,7.4757,4.0609,1.6167
20_M_1559G,16.7803,16.1147,13.1617,11.9533,12.6918,9.5344,12.1621,10.2896,9.6381,9.3499,8.4974,7.6121,7.4817,6.5699,8.2078,4.8719,5.2638,5.6403,4.8574,3.6511,3.9300,4.6549,4.9334,6.4282,7.8387,10.2431,11.2189,8.8841
20_M_1573G,9.4650,3.9074,4.2154,2.3480,2.5061,7.4292,3.3847,3.8528,1.3586,1.1225,4.9466,3.5428,0.8229,0.4498,9.4746,6.8227,3.3903,0.6908,2.2414,4.5644,2.7948,2.4380,4.1359,3.2313,5.3157,9.4374,16.2675,10.4224
