name,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28
20_F_0004G,0.8012,1.4715,1.9828,4.8314,2.8414,2.5538,2.2413,0.9965,0.4211,2.5807,3.4498,2.2178,1.2856,2.8740,0.9786,4.6625,3.5260,2.1907,3.3658,1.7804,3.4884,1.9058,3.6335,2.8725,3.7829,4.6808,3.9410,1.1837
20_F_0097G,2.5399,3.9277,4.2105,2.9535,4.0442,5.0808,2.1456,0.8251,2.8031,3.4701,4.3520,2.1276,3.2024,3.0424,9.0235,6.6035,3.4660,3.6611,2.8443,7.8787,2.7893,2.2313,3.3877,2.4957,4.0883,5.0816,7.4276,1.5000
20_F_0179G,1.8350,2.4635,2.6723,2.7546,10.2050,4.1926,0.8287,0.3050,1.2246,8.0118,0.9155,0.4195,0.6195,6.2988,1.0792,1.0835,0.8434,0.8054,4.8745,6.8797,0.3734,1.3925,5.6615,3.1730,3.2848,5.7606,6.7781,2.7464
20_F_2633G,1.4849,2.0808,5.7032,1.7947,2.2718,0.4358,1.5573,1.1644,1.1535,1.9007,2.2375,2.1801,2.5056,2.3573,1.3335,3.1953,4.1703,3.9273,3.3030,7.0295,4.6601,2.5725,3.9705,5.5632,5.7875,3.6376,4.9714,2.7529
20_F_2634G,2.9288,2.2231,2.6797,2.7454,2.1513,0.3047,2.3699,1.5619,0.5500,0.5133,4.2269,2.9978,0.4394,0.9355,1.7954,6.1911,4.5368,0.6983,1.7639,5.0909,1.6712,1.6627,2.4577,4.4581,2.7906,6.4138,1.4899,0.7407
20_F_2635G,1.5139,3.3532,2.4384,5.4954,3.5494,2.8049,1.4842,0.8217,1.8134,1.8988,1.3642,1.5219,1.9801,1.7052,1.9009,1.3880,2.2761,2.2214,1.8611,5.1498,2.9188,1.6919,2.5130,1.2958,3.9005,6.4782,2.0100,0.3495
20_F_2636G,1.8168,1.5632,1.7137,2.5764,2.6487,2.8049,1.1488,0.1825,0.8012,1.5306,1.1023,0.1735,2.1733,1.8527,3.8662,1.3559,0.5047,3.5533,2.9953,6.9988,1.2846,1.7066,3.2360,3.2386,4.5187,5.4082,4.1675,4.1050
20_F_2637G,2.1550,1.8293,1.8717,3.6168,1.4043,3.0178,1.2752,1.2475,0.8454,1.7314,2.0597,1.5540,1.8121,2.6018,2.5437,2.8942,2.0982,2.8558,3.6463,7.4583,2.0446,1.5720,3.7472,3.4083,3.1891,4.8229,5.2477,2.9366
20_M_1113G,1.1384,3.1339,2.3346,1.7011,1.8929,4.5966,0.8456,1.2706,1.1746,1.7300,1.4891,2.0672,2.5225,2.7778,5.9657,2.1720,2.8946,4.0146,3.9371,6.0300,4.1238,6.0001,3.7025,3.5731,5.5639,3.4039,4.7135,0.7126
20_M_1114G,1.3956,1.7856,4.1285,2.1935,1.2738,0.3595,2.0663,1.7096,2.0047,0.7344,4.2016,3.2062,2.2381,0.8198,1.7511,6.4585,4.7608,2.6042,1.3183,3.9801,2.7592,2.7411,2.2137,4.4288,6.5064,3.6274,10.5326,6.6958
20_M_1115G,1.3315,1.8820,4.2895,1.0962,2.6206,2.1290,0.6068,0.7281,0.3438,1.5798,0.9115,1.0157,0.6331,1.6112,3.3881,1.2266,1.4073,1.0095,2.2407,2.5777,1.9644,2.3028,3.4252,3.0075,3.6384,2.6107,2.3023,1.4471
20_M_1116G,1.0296,2.1224,4.1562,4.0460,1.9631,2.1699,0.9950,2.4920,0.5144,0.8261,1.3664,1.6724,0.4133,1.2179,3.3156,2.1260,1.1416,1.1548,1.6984,3.2189,1.3264,1.0251,3.2826,3.0262,1.6191,1.7403,4.1069,2.5666
20_M_1117G,3.7824,2.0795,1.4483,1.1612,1.5805,1.7551,1.2142,1.5424,1.4810,1.6362,2.2881,2.2318,1.9383,1.7250,5.0152,3.3916,2.9579,2.4293,1.8461,2.6041,2.8028,2.1211,4.1911,2.2147,5.8333,6.2224,3.4379,0.6448
20_M_1559G,3.3171,3.3117,2.8270,3.5123,2.7746,3.1206,0.7554,1.5876,3.1153,2.3019,1.5552,2.1724,2.7296,2.1981,2.1219,2.3956,3.2527,2.4922,2.1225,2.4578,1.5692,2.7036,4.6434,4.8653,5.1959,6.3238,9.6847,4.4713
20_M_1573G,0.6001,3.2869,1.3019,1.4610,1.3691,3.6734,1.3382,1.1495,0.8435,1.2484,2.9146,1.1371,1.4996,2.2278,4.7085,4.5239,1.3220,2.3148,3.2780,3.6092,1.7247,1.4734,5.0405,4.1649,5.8532,3.1687,8.4501,3.2543
