point,category,rule_mean,rule_sd,rule_max,learned_mean,learned_sd,learned_max,baseline_mean,baseline_sd,baseline_max
P1,손가락 끝,3.315,1.011,5.311,1.845,0.901,3.782,8.642,4.313,16.780
P2,손가락 끝,2.233,1.484,5.553,2.434,0.741,3.928,8.129,4.312,16.714
P3,손가락 끝,2.513,1.294,5.080,2.917,1.244,5.703,7.628,3.628,16.168
P4,손가락 끝,2.053,1.284,4.382,2.796,1.269,5.495,8.153,3.485,13.540
P5,손가락 끝,3.105,1.500,6.187,2.839,2.114,10.205,7.545,4.166,17.982
P6,엄지 IP·기저,1.369,0.684,2.964,2.600,1.425,5.081,6.578,3.080,10.740
P15,엄지 IP·기저,3.301,1.889,7.802,3.252,2.127,9.024,6.413,2.567,11.932
P16,손가락 기저,3.715,1.500,6.231,3.311,1.878,6.604,7.183,2.368,12.531
P17,손가락 기저,4.786,1.656,8.185,2.611,1.320,4.761,6.003,2.381,10.418
P18,손가락 기저,6.404,2.007,9.758,2.396,1.068,4.015,4.532,2.225,8.653
P19,손가락 기저,4.661,2.281,10.431,2.740,0.971,4.875,4.404,2.230,8.089
P20,web·측면 (실루엣),5.512,3.475,13.893,4.850,2.022,7.879,6.658,2.131,9.952
P21,web·측면 (실루엣),1.599,1.253,5.237,2.367,1.109,4.660,6.368,2.906,13.375
P22,web·측면 (실루엣),1.206,0.846,3.518,2.207,1.125,6.000,5.525,2.703,12.460
P23,web·측면 (실루엣),2.509,2.347,9.736,3.674,0.915,5.662,4.853,1.692,7.444
P24,web·측면 (실루엣),3.468,1.568,6.258,3.452,1.061,5.563,4.704,1.725,7.198
P25,web·측면 (실루엣),5.804,2.616,10.311,4.370,1.338,6.506,6.351,2.204,9.787
P26,손목,7.375,4.017,15.187,4.625,1.465,6.478,6.984,2.484,11.195
P27,손목,6.884,3.909,16.317,5.284,2.659,10.533,7.724,4.184,16.267
P28,손목,3.578,2.479,9.595,2.407,1.694,6.696,4.851,2.640,10.422
P7,파생점 (3등분),1.005,0.468,1.888,1.392,0.556,2.370,6.758,3.632,13.098
P8,파생점 (3등분),1.400,0.775,2.859,1.172,0.560,2.492,6.295,2.917,11.790
P9,파생점 (3등분),2.006,0.747,3.105,1.273,0.813,3.115,6.387,2.922,10.718
P10,파생점 (3등분),2.596,1.306,6.029,2.113,1.732,8.012,6.084,3.364,14.632
P11,파생점 (3등분),2.268,1.024,4.026,2.296,1.198,4.352,6.636,2.398,11.870
P12,파생점 (3등분),2.905,1.108,5.015,1.780,0.816,3.206,5.843,2.075,9.976
P13,파생점 (3등분),4.062,1.391,6.381,1.733,0.858,3.202,5.274,2.424,8.139
P14,파생점 (3등분),3.507,1.641,7.803,2.283,1.259,6.299,5.030,2.654,11.342
