name,split,P1_method,P15_method,P1_err_mm,P1_err_axis_mm,P15_err_mm,P15_err_axis_mm,length_pred_mm,length_ref_mm,length_err_mm
20_F_0004G,cv,coarse,coarse,1.2579,1.1830,1.2421,-1.2174,45.5089,43.1000,2.4089
20_F_0004G,cv,coarse,fine,1.2579,1.1830,0.3390,-0.2551,44.5492,43.1000,1.4492
20_F_0004G,cv,coarse,atlas,1.2579,1.1830,1.6989,-0.7741,45.0990,43.1000,1.9990
20_F_0004G,cv,coarse,coarse+atlas,1.2579,1.1830,1.2134,-0.9957,45.2976,43.1000,2.1976
20_F_0004G,cv,coarse,mean3,1.2579,1.1830,0.9203,-0.7489,45.0476,43.1000,1.9476
20_F_0004G,cv,coarse,fine+atlas,1.2579,1.1830,1.0031,-0.5146,44.8201,43.1000,1.7201
20_F_0004G,cv,fine,coarse,1.6477,1.4435,1.2421,-1.2174,45.7736,43.1000,2.6736
20_F_0004G,cv,fine,fine,1.6477,1.4435,0.3390,-0.2551,44.8167,43.1000,1.7167
20_F_0004G,cv,fine,atlas,1.6477,1.4435,1.6989,-0.7741,45.3775,43.1000,2.2775
20_F_0004G,cv,fine,coarse+atlas,1.6477,1.4435,1.2134,-0.9957,45.5692,43.1000,2.4692
20_F_0004G,cv,fine,mean3,1.6477,1.4435,0.9203,-0.7489,45.3179,43.1000,2.2179
20_F_0004G,cv,fine,fine+atlas,1.6477,1.4435,1.0031,-0.5146,45.0932,43.1000,1.9932
20_F_0004G,cv,atlas,coarse,1.6483,0.6569,1.2421,-1.2174,44.9930,43.1000,1.8930
20_F_0004G,cv,atlas,fine,1.6483,0.6569,0.3390,-0.2551,44.0253,43.1000,0.9253
20_F_0004G,cv,atlas,atlas,1.6483,0.6569,1.6989,-0.7741,44.5419,43.1000,1.4419
20_F_0004G,cv,atlas,coarse+atlas,1.6483,0.6569,1.2134,-0.9957,44.7611,43.1000,1.6611
20_F_0004G,cv,atlas,mean3,1.6483,0.6569,0.9203,-0.7489,44.5153,43.1000,1.4153
20_F_0004G,cv,atlas,fine+atlas,1.6483,0.6569,1.0031,-0.5146,44.2795,43.1000,1.1795
20_F_0004G,cv,apex,coarse,2.3656,0.2692,1.2421,-1.2174,44.5946,43.1000,1.4946
20_F_0004G,cv,apex,fine,2.3656,0.2692,0.3390,-0.2551,43.6326,43.1000,0.5326
20_F_0004G,cv,apex,atlas,2.3656,0.2692,1.6989,-0.7741,44.1734,43.1000,1.0734
20_F_0004G,cv,apex,coarse+atlas,2.3656,0.2692,1.2134,-0.9957,44.3775,43.1000,1.2775
20_F_0004G,cv,apex,mean3,2.3656,0.2692,0.9203,-0.7489,44.1287,43.1000,1.0287
20_F_0004G,cv,apex,fine+atlas,2.3656,0.2692,1.0031,-0.5146,43.8988,43.1000,0.7988
20_F_0004G,cv,apex+atlas,coarse,1.8969,0.4631,1.2421,-1.2174,44.7917,43.1000,1.6917
20_F_0004G,cv,apex+atlas,fine,1.8969,0.4631,0.3390,-0.2551,43.8268,43.1000,0.7268
20_F_0004G,cv,apex+atlas,atlas,1.8969,0.4631,1.6989,-0.7741,44.3554,43.1000,1.2554
20_F_0004G,cv,apex+atlas,coarse+atlas,1.8969,0.4631,1.2134,-0.9957,44.5671,43.1000,1.4671
20_F_0004G,cv,apex+atlas,mean3,1.8969,0.4631,0.9203,-0.7489,44.3198,43.1000,1.2198
20_F_0004G,cv,apex+atlas,fine+atlas,1.8969,0.4631,1.0031,-0.5146,44.0869,43.1000,0.9869
20_F_0004G,cv,mean4,coarse,1.3651,0.8882,1.2421,-1.2174,45.2135,43.1000,2.1135
20_F_0004G,cv,mean4,fine,1.3651,0.8882,0.3390,-0.2551,44.2518,43.1000,1.1518
20_F_0004G,cv,mean4,atlas,1.3651,0.8882,1.6989,-0.7741,44.7940,43.1000,1.6940
20_F_0004G,cv,mean4,coarse+atlas,1.3651,0.8882,1.2134,-0.9957,44.9973,43.1000,1.8973
20_F_0004G,cv,mean4,mean3,1.3651,0.8882,0.9203,-0.7489,44.7483,43.1000,1.6483
20_F_0004G,cv,mean4,fine+atlas,1.3651,0.8882,1.0031,-0.5146,44.5188,43.1000,1.4188
20_F_0097G,cv,coarse,coarse,2.9027,-0.9570,7.8886,6.2830,46.9371,53.8000,-6.8629
20_F_0097G,cv,coarse,fine,2.9027,-0.9570,8.7559,6.2825,47.1252,53.8000,-6.6748
20_F_0097G,cv,coarse,atlas,2.9027,-0.9570,3.8949,3.6977,49.1839,53.8000,-4.6161
20_F_0097G,cv,coarse,coarse+atlas,2.9027,-0.9570,5.7551,4.9904,48.0168,53.8000,-5.7832
20_F_0097G,cv,coarse,mean3,2.9027,-0.9570,6.6981,5.4211,47.6926,53.8000,-6.1074
20_F_0097G,cv,coarse,fine+atlas,2.9027,-0.9570,6.1102,4.9901,48.0774,53.8000,-5.7226
20_F_0097G,cv,fine,coarse,3.1324,-1.2564,7.8886,6.2830,46.6115,53.8000,-7.1885
20_F_0097G,cv,fine,fine,3.1324,-1.2564,8.7559,6.2825,46.7945,53.8000,-7.0055
20_F_0097G,cv,fine,atlas,3.1324,-1.2564,3.8949,3.6977,48.8756,53.8000,-4.9244
20_F_0097G,cv,fine,coarse+atlas,3.1324,-1.2564,5.7551,4.9904,47.6998,53.8000,-6.1002
