P1_method,P15_method,n,mae_mm,bias_mm,max_abs_mm,within_0.5,P1_err_mean,P15_err_mean
apex,atlas,12,1.8676,-0.4253,4.9909,4,1.9732,2.3609
mean4,atlas,12,1.8764,-0.3560,4.8789,4,1.7859,2.3609
apex+atlas,atlas,12,1.8873,-0.4171,4.9866,4,1.6976,2.3609
fine,atlas,12,1.8901,-0.2856,4.9244,3,2.2389,2.3609
coarse,atlas,12,1.9103,-0.2956,4.6161,3,2.0570,2.3609
atlas,atlas,12,1.9663,-0.4072,4.9793,2,1.5359,2.3609
mean4,fine+atlas,12,2.1700,-0.6484,5.9795,4,1.7859,2.6554
apex,fine+atlas,12,2.1747,-0.7152,6.0580,2,1.9732,2.6554
fine,fine+atlas,12,2.1844,-0.5814,6.0424,4,2.2389,2.6554
atlas,coarse+atlas,12,2.1914,-0.6410,6.1495,3,1.5359,2.5856
apex+atlas,fine+atlas,12,2.1934,-0.7071,6.0755,2,1.6976,2.6554
apex+atlas,coarse+atlas,12,2.1971,-0.6514,6.1406,1,1.6976,2.5856
coarse,fine+atlas,12,2.2045,-0.5895,5.7226,3,2.0570,2.6554
apex,coarse+atlas,12,2.2062,-0.6602,6.1284,1,1.9732,2.5856
mean4,coarse+atlas,12,2.2104,-0.5921,6.0417,3,1.7859,2.5856
atlas,fine+atlas,12,2.2114,-0.6974,6.0898,2,1.5359,2.6554
fine,coarse+atlas,12,2.2256,-0.5246,6.1002,2,2.2389,2.5856
coarse,coarse+atlas,12,2.2456,-0.5322,5.7832,2,2.0570,2.5856
apex+atlas,mean3,12,2.3202,-0.7633,6.4570,2,1.6976,2.8078
atlas,mean3,12,2.3255,-0.7532,6.4752,3,1.5359,2.8078
apex,mean3,12,2.3285,-0.7718,6.4357,2,1.9732,2.8078
mean4,mean3,12,2.3342,-0.7051,6.3632,2,1.7859,2.8078
fine,mean3,12,2.3476,-0.6389,6.4291,2,2.2389,2.8078
coarse,mean3,12,2.3624,-0.6461,6.1074,2,2.0570,2.8078
apex,fine,12,2.5650,-0.9839,6.9680,3,1.9732,3.3312
apex+atlas,fine,12,2.5662,-0.9761,7.0080,2,1.6976,3.3312
mean4,fine,12,2.5810,-0.9201,6.9246,2,1.7859,3.3312
atlas,fine,12,2.5859,-0.9666,7.0449,2,1.5359,3.3312
fine,fine,12,2.6003,-0.8566,7.0055,1,2.2389,3.3312
coarse,fine,12,2.6495,-0.8629,6.6748,2,2.0570,3.3312
apex,coarse,12,2.6618,-0.8804,7.1765,1,1.9732,3.2638
apex+atlas,coarse,12,2.6710,-0.8712,7.2057,1,1.6976,3.2638
atlas,coarse,12,2.6805,-0.8603,7.2318,1,1.5359,3.2638
mean4,coarse,12,2.7141,-0.8137,7.1163,1,1.7859,3.2638
fine,coarse,12,2.7316,-0.7493,7.1885,1,2.2389,3.2638
coarse,coarse,12,2.7809,-0.7545,6.8629,0,2.0570,3.2638
