name,split,P1_method,P15_method,P1_err_mm,P1_err_axis_mm,P15_err_mm,P15_err_axis_mm,length_pred_mm,length_ref_mm,length_err_mm
20_F_0004G,cv,coarse,coarse,1.3264,1.2935,1.3536,-1.3492,45.7505,43.1000,2.6505
20_F_0004G,cv,coarse,fine,1.3264,1.2935,0.3390,-0.2551,44.6573,43.1000,1.5573
20_F_0004G,cv,coarse,atlas,1.3264,1.2935,1.7013,-0.7971,45.2226,43.1000,2.1226
20_F_0004G,cv,fine,coarse,1.6477,1.4435,1.3536,-1.3492,45.9058,43.1000,2.8058
20_F_0004G,cv,fine,fine,1.6477,1.4435,0.3390,-0.2551,44.8167,43.1000,1.7167
20_F_0004G,cv,fine,atlas,1.6477,1.4435,1.7013,-0.7971,45.3999,43.1000,2.2999
20_F_0004G,cv,atlas,coarse,1.5944,0.6743,1.3536,-1.3492,45.1420,43.1000,2.0420
20_F_0004G,cv,atlas,fine,1.5944,0.6743,0.3390,-0.2551,44.0431,43.1000,0.9431
20_F_0004G,cv,atlas,atlas,1.5944,0.6743,1.7013,-0.7971,44.5819,43.1000,1.4819
20_F_0004G,cv,apex,coarse,2.3656,0.2692,1.3536,-1.3492,44.7263,43.1000,1.6263
20_F_0004G,cv,apex,fine,2.3656,0.2692,0.3390,-0.2551,43.6326,43.1000,0.5326
20_F_0004G,cv,apex,atlas,2.3656,0.2692,1.7013,-0.7971,44.1959,43.1000,1.0959
20_F_0097G,cv,coarse,coarse,2.8815,-1.0772,8.0436,6.3630,46.7626,53.8000,-7.0374
20_F_0097G,cv,coarse,fine,2.8815,-1.0772,8.7559,6.2825,47.0125,53.8000,-6.7875
20_F_0097G,cv,coarse,atlas,2.8815,-1.0772,3.9648,3.7590,49.0057,53.8000,-4.7943
20_F_0097G,cv,fine,coarse,3.1324,-1.2564,8.0436,6.3630,46.5505,53.8000,-7.2495
20_F_0097G,cv,fine,fine,3.1324,-1.2564,8.7559,6.2825,46.7945,53.8000,-7.0055
20_F_0097G,cv,fine,atlas,3.1324,-1.2564,3.9648,3.7590,48.8156,53.8000,-4.9844
20_F_0097G,cv,atlas,coarse,1.9185,-1.3169,8.0436,6.3630,46.5074,53.8000,-7.2926
20_F_0097G,cv,atlas,fine,1.9185,-1.3169,8.7559,6.2825,46.7549,53.8000,-7.0451
20_F_0097G,cv,atlas,atlas,1.9185,-1.3169,3.9648,3.7590,48.7605,53.8000,-5.0395
20_F_0097G,cv,apex,coarse,2.3526,-1.3658,8.0436,6.3630,46.5654,53.8000,-7.2346
20_F_0097G,cv,apex,fine,2.3526,-1.3658,8.7559,6.2825,46.8320,53.8000,-6.9680
20_F_0097G,cv,apex,atlas,2.3526,-1.3658,3.9648,3.7590,48.7498,53.8000,-5.0502
20_F_2633G,cv,coarse,coarse,1.4539,0.8493,0.9753,-0.2609,47.8332,46.7000,1.1332
20_F_2633G,cv,coarse,fine,1.4539,0.8493,1.0818,0.4676,47.1061,46.7000,0.4061
20_F_2633G,cv,coarse,atlas,1.4539,0.8493,1.8120,0.8511,46.7473,46.7000,0.0473
20_F_2633G,cv,fine,coarse,1.5234,0.9895,0.9753,-0.2609,47.9740,46.7000,1.2740
20_F_2633G,cv,fine,fine,1.5234,0.9895,1.0818,0.4676,47.2480,46.7000,0.5480
20_F_2633G,cv,fine,atlas,1.5234,0.9895,1.8120,0.8511,46.8940,46.7000,0.1940
20_F_2633G,cv,atlas,coarse,0.6737,0.2480,0.9753,-0.2609,47.2325,46.7000,0.5325
20_F_2633G,cv,atlas,fine,0.6737,0.2480,1.0818,0.4676,46.5035,46.7000,-0.1965
20_F_2633G,cv,atlas,atlas,0.6737,0.2480,1.8120,0.8511,46.1374,46.7000,-0.5626
20_F_2633G,cv,apex,coarse,1.2882,0.5476,0.9753,-0.2609,47.5377,46.7000,0.8377
20_F_2633G,cv,apex,fine,1.2882,0.5476,1.0818,0.4676,46.8153,46.7000,0.1153
20_F_2633G,cv,apex,atlas,1.2882,0.5476,1.8120,0.8511,46.4753,46.7000,-0.2247
20_F_2634G,cv,coarse,coarse,3.7771,-0.4684,1.3824,0.0917,49.6574,50.2000,-0.5426
20_F_2634G,cv,coarse,fine,3.7771,-0.4684,1.6614,-0.0878,49.8372,50.2000,-0.3628
20_F_2634G,cv,coarse,atlas,3.7771,-0.4684,1.3953,-1.1704,50.9597,50.2000,0.7597
20_F_2634G,cv,fine,coarse,3.7077,-0.1732,1.3824,0.0917,49.9526,50.2000,-0.2474
20_F_2634G,cv,fine,fine,3.7077,-0.1732,1.6614,-0.0878,50.1323,50.2000,-0.0677
20_F_2634G,cv,fine,atlas,3.7077,-0.1732,1.3953,-1.1704,51.2547,50.2000,1.0547
20_F_2634G,cv,atlas,coarse,2.0904,-0.0875,1.3824,0.0917,50.0521,50.2000,-0.1479
20_F_2634G,cv,atlas,fine,2.0904,-0.0875,1.6614,-0.0878,50.2390,50.2000,0.0390
20_F_2634G,cv,atlas,atlas,2.0904,-0.0875,1.3953,-1.1704,51.3057,50.2000,1.1057
