P1_method,P15_method,n,mae_mm,bias_mm,max_abs_mm,within_0.5,P1_err_mean,P15_err_mean
apex,atlas,12,1.9018,-0.4405,5.0502,3,1.9732,2.3993
fine,atlas,12,1.9218,-0.3015,4.9844,3,2.2389,2.3993
coarse,atlas,12,1.9349,-0.3172,4.7943,3,2.0753,2.3993
atlas,atlas,12,2.0060,-0.4091,5.0395,2,1.5326,2.3993
apex,fine,12,2.5650,-0.9839,6.9680,3,1.9732,3.3312
atlas,fine,12,2.5954,-0.9535,7.0451,2,1.5326,3.3312
fine,fine,12,2.6003,-0.8566,7.0055,1,2.2389,3.3312
coarse,fine,12,2.6566,-0.8683,6.7875,2,2.0753,3.3312
apex,coarse,12,2.6735,-0.8622,7.2346,1,1.9732,3.2511
atlas,coarse,12,2.6945,-0.8291,7.2926,1,1.5326,3.2511
fine,coarse,12,2.7351,-0.7304,7.2495,1,2.2389,3.2511
coarse,coarse,12,2.7914,-0.7410,7.0374,0,2.0753,3.2511
