name,P1_x,P1_y,P1_z,P2_x,P2_y,P2_z,P3_x,P3_y,P3_z,P4_x,P4_y,P4_z,P5_x,P5_y,P5_z,P6_x,P6_y,P6_z,P7_x,P7_y,P7_z,P8_x,P8_y,P8_z,P9_x,P9_y,P9_z,P10_x,P10_y,P10_z,P11_x,P11_y,P11_z,P12_x,P12_y,P12_z,P13_x,P13_y,P13_z,P14_x,P14_y,P14_z,P15_x,P15_y,P15_z,P16_x,P16_y,P16_z,P17_x,P17_y,P17_z,P18_x,P18_y,P18_z,P19_x,P19_y,P19_z,P20_x,P20_y,P20_z,P21_x,P21_y,P21_z,P22_x,P22_y,P22_z,P23_x,P23_y,P23_z,P24_x,P24_y,P24_z,P25_x,P25_y,P25_z,P26_x,P26_y,P26_z,P27_x,P27_y,P27_z,P28_x,P28_y,P28_z,P15_B_x,P15_B_y,P15_B_z
20_F_0004G,-58.8001,-0.7584,9.5580,-33.9703,74.5217,6.4516,15.0061,89.7431,8.9149,55.4848,73.3219,5.7232,82.0529,38.4137,2.7756,-41.9191,-15.6098,0.4415,-24.3933,53.2273,0.0000,15.1106,64.3561,0.0000,48.1455,50.7240,0.0000,73.9371,23.9235,0.0000,-14.8163,31.9329,0.0000,15.2151,38.9690,0.0000,40.8063,28.1260,0.0000,65.8213,9.4332,0.0000,-25.0381,-30.4612,3.4437,-5.2394,10.6385,0.1575,15.3196,13.5820,0.9737,33.4670,5.5281,1.0118,57.7056,-5.0571,0.1642,-19.1409,-23.7581,7.8206,4.1829,14.8761,7.8670,26.4838,13.6279,8.9174,46.1756,1.4006,7.1427,58.9789,-19.8770,9.0005,-16.0778,-5.3575,15.7519,-4.4680,-77.1571,25.8906,47.9051,-74.1209,25.5983,21.7185,-75.6390,1.0000,-40.9413,-16.4700,0.0000
20_F_0097G,-71.2733,6.8024,6.9535,-41.3863,82.0575,8.2468,10.3725,101.3396,3.6110,59.5500,89.3283,2.9629,91.8590,50.9896,4.7962,-49.0375,-10.2097,1.9084,-27.9669,57.9551,0.0000,13.0541,72.3419,0.0000,51.0364,64.3451,0.0000,79.5749,35.1834,0.0000,-14.5475,33.8527,0.0000,15.7358,43.3442,0.0000,42.5227,39.3620,0.0000,67.2908,19.3772,0.0000,-26.8016,-27.2217,2.5163,-1.1281,9.7503,0.0000,18.4175,14.3466,-0.2414,34.0090,14.3788,0.2408,55.0067,3.5709,0.0375,-17.2822,-14.7792,13.8419,6.6602,14.0866,7.2692,28.8190,15.3085,7.1169,46.6371,10.0755,4.1009,60.4532,-11.4503,7.5846,-12.8339,-1.6260,9.7035,-9.2084,-71.3354,17.4351,48.3589,-67.4041,15.7698,19.5753,-69.3698,1.0000,-43.4385,-14.4933,0.0000
20_F_0179G,-67.0171,5.4532,9.4257,-38.1611,85.1851,6.6226,10.7006,106.2542,9.7580,55.6786,93.2663,5.8426,85.2744,43.0848,6.4980,-49.9295,-11.2361,0.6017,-28.4406,62.7339,0.0000,12.0363,78.1065,0.0000,49.5554,65.8667,0.0000,78.1530,29.2129,0.0000,-18.7201,40.2826,0.0000,13.3720,49.9588,0.0000,43.4323,38.4671,0.0000,71.0315,15.3411,0.0000,-32.8418,-27.9255,3.8483,-8.9996,17.8314,0.3505,14.7078,21.8111,1.7024,37.3091,11.0675,2.3096,63.9101,1.4692,0.6613,-23.5488,-18.4108,13.8952,1.4180,22.3418,12.0716,28.6266,22.4716,11.3815,51.3070,7.9393,11.4000,66.1827,-13.1017,10.1814,-17.7036,1.2697,14.5582,-4.3634,-81.1587,36.5999,51.1852,-76.3770,34.3178,23.4109,-78.7678,1.0000,-47.7652,-13.3499,0.0000
20_F_2633G,-59.1955,5.2265,8.8466,-30.5917,65.8664,6.3996,7.9933,82.8033,6.5269,49.0446,72.6427,6.8215,79.7199,33.7910,5.5122,-43.0233,-12.7553,0.7085,-22.0632,47.2156,0.0000,9.8316,59.0641,0.0000,43.6899,49.8695,0.0000,71.4562,21.0782,0.0000,-13.5346,28.5648,0.0000,11.6700,35.3248,0.0000,38.3352,27.0964,0.0000,63.1924,8.3654,0.0000,-26.8511,-30.7372,1.1159,-5.0061,9.9140,0.5545,13.5083,11.5856,0.2749,32.9805,4.3232,0.2226,54.9287,-4.3474,0.1060,-19.7038,-24.3092,18.0551,3.1000,13.6206,9.8854,25.6623,12.5267,11.1757,46.4692,1.1516,6.0207,60.6595,-18.5418,9.0305,-14.7579,-5.3374,9.7333,-5.4521,-81.3060,26.4040,46.5241,-76.4319,26.4033,20.5360,-78.8690,1.0000,-41.0606,-14.9377,0.0000
20_F_2634G,-68.9309,3.9278,7.5185,-33.4031,76.8829,4.1519,17.7539,97.6784,9.7685,58.3402,83.6696,7.9682,88.1026,45.9696,7.0414,-47.8105,-13.6016,0.9826,-22.1932,54.0336,0.0000,17.9354,69.5650,0.0000,51.9880,58.8037,0.0000,81.1268,30.3562,0.0000,-10.9832,31.1843,0.0000,18.1169,41.4517,0.0000,45.6359,33.9378,0.0000,74.1511,14.7429,0.0000,-26.6902,-31.1309,1.1402,0.2267,8.3350,0.4948,18.2984,13.3383,0.7786,39.2837,9.0719,0.4380,67.1754,-0.8704,3.1125,-16.9574,-19.4043,11.9281,9.4971,12.8831,9.8964,32.7558,13.4317,8.7362,52.4505,5.7083,5.6657,65.8293,-15.8115,9.1590,-10.9124,-3.9604,17.3524,-4.2747,-73.9450,25.0875,50.0885,-71.3475,20.2229,22.9069,-72.6463,1.0000,-42.3914,-18.0993,0.0000
20_F_2635G,-63.5400,-4.1200,7.0800,-28.7000,68.6300,7.4100,11.4100,88.4900,7.1300,52.5800,77.8300,1.5600,85.6600,48.3000,5.8200,-44.4377,-19.1811,0.7442,-20.2889,46.6753,0.0000,13.6789,61.3131,0.0000,47.1992,54.3410,0.0000,77.2342,31.7793,0.0000,-11.8778,24.7207,0.0000,15.9478,34.1362,0.0000,41.8184,30.8520,0.0000,68.8084,15.2586,0.0000,-25.3354,-34.2423,2.3605,-3.4666,2.7660,0.5156,18.2166,6.9593,-0.0827,36.4376,7.3629,0.5325,60.3826,-1.2621,0.3457,-18.4827,-25.5509,13.9867,7.2221,6.8610,9.6117,29.1934,7.8757,7.7588,49.2062,4.4379,7.7432,63.7925,-15.8625,8.6501,-12.6700,-10.2900,13.9200,-0.8700,-81.5100,25.0800,51.5760,-78.2331,33.0619,25.3530,-79.8715,1.0000,-41.5773,-21.4364,0.0000
20_F_2636G,-64.2742,4.8630,6.9595,-32.4036,70.9346,4.6449,7.9590,88.3262,9.4335,44.4762,74.7336,5.1466,80.4417,41.2769,5.5383,-47.0080,-11.5474,1.2079,-24.2087,50.1261,0.0000,9.8031,62.4096,0.0000,40.3229,52.8751,0.0000,71.6626,27.6921,0.0000,-16.0138,29.3176,0.0000,11.6472,36.4929,0.0000,36.1696,31.0166,0.0000,62.8834,14.1073,0.0000,-29.7417,-27.9578,2.8293,-7.8188,8.5091,0.4217,13.4913,10.5763,0.1399,32.0164,9.1581,1.3308,54.1043,0.5225,0.3920,-21.4577,-19.2417,17.2111,1.5473,12.1977,9.0453,23.9770,11.3224,9.7796,44.3755,6.8098,7.1721,57.9182,-13.8556,8.8534,-17.9089,-4.3512,12.0850,-5.4935,-81.3069,29.8115,46.0550,-77.7168,35.9137,20.2808,-79.5118,1.0000,-45.0249,-13.4322,0.0000
20_F_2637G,-68.8059,3.4484,14.5549,-33.4188,75.8612,4.5310,12.3158,94.0035,9.0297,59.7834,78.9399,8.9678,88.7951,43.8853,6.9588,-48.8979,-14.1239,0.7161,-24.9179,52.6146,0.0000,13.0306,65.6435,0.0000,51.5443,54.9491,0.0000,80.5322,27.4665,0.0000,-16.4171,29.3681,0.0000,13.7454,37.2835,0.0000,43.3052,30.9583,0.0000,72.2693,11.0477,0.0000,-28.9898,-31.6962,1.5604,-7.9162,6.1216,1.7217,14.4602,8.9235,0.2332,35.0661,6.9675,1.3403,64.0064,-5.3711,3.5079,-22.2312,-24.0393,16.6579,3.2718,10.2128,8.8931,28.2450,9.2709,9.9099,48.9923,2.1849,7.1576,61.7429,-20.3917,9.5447,-17.2179,-7.6862,15.8577,-8.5372,-79.5732,16.3348,48.0547,-76.2710,26.4652,19.7588,-77.9221,1.0000,-44.3681,-18.1222,0.0000
20_M_1113G,-68.9201,-0.5062,9.4066,-35.6720,80.8637,5.8984,13.8985,100.8698,10.0389,58.4827,89.2065,6.7881,91.1536,49.8852,7.2446,-50.2003,-14.6136,0.7059,-27.1184,60.8632,0.0000,14.1576,76.1695,0.0000,52.1509,65.1170,0.0000,84.0034,35.1225,0.0000,-18.5647,40.8628,0.0000,14.4167,51.4691,0.0000,45.8191,41.0274,0.0000,76.8533,20.3598,0.0000,-31.4804,-28.7210,4.7745,-10.0111,20.8623,7.4427,14.6758,26.7688,8.7406,39.4872,16.9379,3.5071,69.7032,5.5971,0.8406,-27.4294,-23.3455,24.4145,3.8491,26.7899,18.3184,30.3443,26.9331,14.6518,54.3588,13.0290,8.8433,72.1154,-9.2311,9.3305,-19.8099,1.2363,20.9413,-12.2513,-81.0993,19.4088,58.6279,-76.0730,32.1665,23.1883,-78.5861,1.0000,-48.3632,-15.9980,0.0000
20_M_1114G,-74.7546,14.3333,10.6158,-36.9020,85.0563,6.7951,9.3300,101.9544,12.3394,56.3184,92.2570,8.9140,93.6122,54.3079,6.9771,-55.1141,-4.5384,0.7715,-28.4089,63.6635,0.0000,11.3045,75.1008,0.0000,50.5589,66.4274,0.0000,83.9962,37.8681,0.0000,-19.9158,42.2707,0.0000,13.2790,48.2472,0.0000,44.7995,40.5978,0.0000,74.3801,21.4282,0.0000,-35.4737,-23.4100,2.0602,-11.4226,20.8780,2.8486,15.2536,21.3936,1.4505,39.0400,14.7682,1.2601,64.7641,4.9884,0.3722,-27.2662,-14.8682,16.0681,2.7543,26.5064,11.1679,29.0221,22.4060,9.6744,53.5915,11.5235,5.3777,70.3710,-9.8146,10.5947,-20.3417,4.8104,19.0847,-9.2329,-81.4326,30.9930,52.8721,-76.5018,34.0022,21.8196,-78.9672,1.0000,-50.2412,-9.2206,0.0000
