name,P1_x,P1_y,P1_z,P15_x,P15_y,P15_z,P20_x,P20_y,P20_z,P28_x,P28_y,P28_z,P15_B_x,P15_B_y,P15_B_z
20_F_0004G,-58.8001,-0.7584,9.5580,-16.7968,-18.0708,8.7114,-19.1409,-23.7581,7.8206,21.2468,-74.6973,0.9649,-49.3664,-4.6466,0.0000
20_F_0097G,-71.2733,6.8024,6.9535,-16.4685,-12.4628,8.0012,-17.3602,-14.9995,14.6711,19.3774,-72.9160,1.1160,-60.6333,3.0622,0.0000
20_F_0179G,-67.0171,5.4532,9.4257,-22.8165,-17.2106,10.3292,-23.3764,-18.3026,20.6087,21.5254,-72.6834,1.0761,-55.7195,-0.3396,0.0000
20_F_2633G,-59.1955,5.2265,8.8466,-21.7627,-26.7957,2.8905,-19.7824,-24.4809,18.5946,19.1211,-75.8907,0.9518,-45.5301,-6.4636,0.0000
20_F_2634G,-68.9309,3.9278,7.5185,-16.6757,-19.2622,5.1568,-16.6413,-19.1846,12.2672,22.1062,-74.6503,0.9986,-58.8999,-0.5238,0.0000
20_F_2635G,-63.5400,-4.1200,7.0800,-17.7505,-23.7781,7.9884,-18.5502,-25.6407,14.1815,24.5384,-76.4761,0.9713,-54.3378,-8.0706,0.0000
20_F_2636G,-64.2742,4.8630,6.9595,-22.3399,-20.6755,6.6926,-21.4260,-19.1748,16.6000,17.9476,-70.2054,1.0540,-54.6964,-0.9700,0.0000
20_F_2637G,-68.8059,3.4484,14.5549,-22.9409,-25.1764,4.6960,-22.2312,-24.0393,16.6579,19.3162,-79.6579,0.9429,-54.5011,-5.4794,0.0000
20_M_1113G,-68.9201,-0.5062,9.4066,-25.5653,-17.9945,20.8646,-27.9287,-23.8536,22.8861,23.9148,-83.8264,0.9795,-56.2046,-5.6353,0.0000
20_M_1114G,-74.7546,14.3333,10.6158,-28.5611,-16.7901,6.9217,-27.2662,-14.8682,16.0681,21.1613,-74.2104,1.0799,-58.1124,3.1204,0.0000
20_M_1115G,-66.1239,3.6790,9.2835,-23.2004,-23.2711,10.6591,-23.6216,-23.9419,24.8581,23.1092,-80.8855,0.9236,-51.1731,-5.7081,0.0000
20_M_1116G,-72.0035,14.1425,6.8665,-34.2751,-25.8285,3.4709,-28.8150,-20.6747,13.7236,17.9409,-81.8400,0.8374,-57.2465,-1.4916,0.0000
20_M_1117G,-72.3806,20.4276,8.9180,-36.9162,-17.3276,4.9519,-32.4499,-13.1322,17.1234,13.7289,-79.0251,1.0951,-59.4298,6.6402,0.0000
20_M_1559G,-73.9591,14.5992,12.8921,-27.3047,-27.1524,3.0587,-21.6712,-20.8573,15.7010,25.9670,-86.8125,0.7615,-53.8672,-3.3812,0.0000
20_M_1573G,-77.8002,12.8257,10.4667,-30.4636,-14.4457,17.6931,-31.7107,-16.6104,13.8852,16.0234,-87.9573,1.0449,-60.0019,2.5718,0.0000
